29486291,7506 Bender Dr, Austin,TX,78749,3,3,1537,248096
29369534,7001 Danwood Dr, Austin,TX,78759,3,3,1918,378515
62606897,2632 Century Park Blvd UNIT 41, Austin,TX,78727,2,3,1553,174491
29437761,1117 Porterfield Dr, Austin,TX,78753,3,3,2419,210605
89552537,360 Nueces St APT 1010, Austin,TX,78701,1,1,715,373196
29487500,8905 Colberg Dr, Austin,TX,78749,4,3,2473,385197
2097545835,1008 Muse Ln # 14, Austin,TX,78702,3,3,1627,Unavailable
83126303,8701 Escarpment Blvd APT 142, Austin,TX,78749,2,2,1415,269253
83827138,14009 Lake View Dr, Austin,TX,78732,4,4.5,3415,474397
97847945,800 Walnut Creek Dr, Austin,TX,78753,3,3,2124,Unavailable
29374485,10710 Fountainbleu Cir, Austin,TX,78750,4,2,2972,512433
29355971,6800 Ladera Norte, Austin,TX,78731,4,4,3354,771242
119617136,7635 Evening Sky Cir # G-11, Austin,TX,78735,3,3,2276,352938
2098899299,539 Plan, Belterra Austin,TX,78737,4,3,2463,357236
29386816,1206 Angelina St, Austin,TX,78702,1,1,448,238864
29429863,9304 Hunters Trce, Austin,TX,78758,3,2,1230,204522
111370865,2124 Williston Loop, Austin,TX,78748,4,3,2084,Unavailable
29388851,1145 Nickols Ave, Austin,TX,78721,3,2,1215,275869
70337310,11800 Eagles Glen Dr, Austin,TX,78732,5,4,4935,852047
83813736,13408 Bullick Hollow Rd, Austin,TX,78726,3,2,1649,400572
2097553570,1806 Piedmont Ave # A, Austin,TX,78757,3,3,1718,Unavailable
2097553800,406 N Pleasant Valley Rd, Austin,TX,78702,3,3,1917,Unavailable
29491390,5711 Marchmont Ln, Austin,TX,78749,4,2,2297,339518
2097554002,1601 E Slaughter Ln # 5555, Austin,TX,78747,3,2,1116,Unavailable
2097554457,1806 Piedmont Ave # B, Austin,TX,78757,2,2,846,Unavailable
89550153,9012 Tall Sky Trce, Austin,TX,78724,4,3,2668,203263
80092807,1101 Grove Blvd APT 401, Austin,TX,78741,2,3,1088,223995
89549462,2508 Alleyton Cv, Austin,TX,78725,3,2,1755,301721
80101099,10813 Desert Willow Loop, Austin,TX,78748,3,2,1701,268867
2097554490,000 E Us Hwy # 290, Austin,TX,78724,0,0,0,Unavailable
80104805,11502 Bruce Jenner Ln, Austin,TX,78748,3,3,1422,223107
29474977,907 Juanita St, Austin,TX,78704,5,5,3122,1278000
2097568356,1904 Goodrich Avenue 17 # 17, Austin,TX,78704,3,3,--,Unavailable
58316861,907 Minturn Ln, Austin,TX,78748,3,2,1315,222727
125914950,1401 Quinlan Park Rd, Austin,TX,78732,0,0,0,Unavailable
29351770,5903 Cartwright Cv, Austin,TX,78731,3,2,2290,482114
2097555861,3812 Wadford St # B, Austin,TX,78704,3,3,1934,Unavailable
2097555863,3812 Wadford St # A, Austin,TX,78704,3,3,1892,Unavailable
80087262,2308 Enfield Rd APT 105, Austin,TX,78703,1,1,844,249902
124844634,2007 Sl Davis Ave APT A, Austin,TX,78702,3,2.5,2005,507060
29427839,200 Etta Pl, Austin,TX,78753,2,2,1220,163035
29463760,2500 Burleson Rd APT 218, Austin,TX,78741,1,1,535,115786
2097556939,522 Sunny Ln # A, Austin,TX,78704,3,3,1590,Unavailable
29462585,14511 Fitzgibbon Dr, Austin,TX,78725,3,2,1499,148336
29422993,3509 Greystone Dr, Austin,TX,78731,2,2,904,156819
58299916,5824 Brittlyns Ct, Austin,TX,78730,5,4,3096,547712
29403160,4110 Avenue B, Austin,TX,78751,3,3,1967,684686
70326581,5407 Agatha Cir, Austin,TX,78724,3,3,1646,343170
29333118,3209 Winding Creek Dr, Austin,TX,78735,4,5,3933,1031965
2097558296,PR 5832 LOT 7, Donie,TX,75838,0,0,0,Unavailable
29370675,9503 Winding Oak Trl, Austin,TX,78750,4,2,2315,439125
2098857533,Plan E-1591 Plan, The Trails at Stoney Ridge Del Valle,TX,78617,3,2,1591,188036
2097559809,1010 S Quinlan Park Rd APT 1, Austin,TX,78732,1,1,1348,Unavailable
2097559807,1010 S Quinlan Park Rd APT 6, Austin,TX,78732,1,1,1218,Unavailable
29323497,4509 Foster Ranch Rd, Austin,TX,78735,4,3,3297,574198
89550477,2210 Onion Creek Pkwy UNIT 1102, Austin,TX,78747,2,3,2078,252422
29408575,2910 Loyola Ln, Austin,TX,78723,5,3,2030,363240
58311708,8068 Thaxton Rd, Austin,TX,78747,3,2,1425,166866
29516450,10917 Crown Colony Dr, Austin,TX,78747,2,2,1415,208887
89547736,1901 New York Ave # A, Austin,TX,78702,3,3,1562,409338
2100932960,Unit 7 Plan, The Griffin Austin,TX,78703,2,2.5,1325,576963
63228206,1725 Bowerton Dr, Austin,TX,78754,3,2,1924,215706
125889935,Skyline Dr, Austin,TX,78732,0,0,0,Unavailable
58317042,717 Shiny Rock Dr, Austin,TX,78748,3,2,--,233795
80107203,5800 Zachary Scott St, Austin,TX,78747,3,2,1436,191422
83815720,507 Sabine St APT 1004, Austin,TX,78701,1,1,728,310899
83819418,2020 S Congress Ave APT 2223, Austin,TX,78704,1,1,650,178168
125804459,13509 Montview Dr, Austin,TX,78732,0,0,0,Unavailable
29466075,Eva St, Del Valle,TX,78617,0,0,0,Unavailable
29415953,5907 Bullard Dr, Austin,TX,78757,3,2,1745,508355
63836864,4902 Duval Rd APT Q1, Austin,TX,78727,2,1,916,153367
29388799,1185 Springdale Rd, Austin,TX,78721,3,3,1750,Unavailable
29516219,10913 River Plantation Dr, Austin,TX,78747,4,2,2477,377311
29478760,403 Krebs Ln, Austin,TX,78704,3,1,1015,344102
58312363,3815 Manchaca Rd APT 40, Austin,TX,78704,2,2,948,215262
29427481,8906 Covey Ct, Austin,TX,78758,4,2,2300,253823
70334894,9320 Manipari Ln, Austin,TX,78749,4,4,3000,422500
29487195,6441 Clay Allison Pass, Austin,TX,78749,3,3,1668,301383
2099140990,Rosemont Plan, Austin's Colony Austin,TX,78725,3,2,1599,175292
2097569936,1116 Euphoria Bnd, Austin,TX,78702,3,3,1700,Unavailable
2097569955,1114 Euphoria Bnd, Austin,TX,78702,3,3,1700,Unavailable
2097569982,1006 Muse Ln, Austin,TX,78702,3,3,1627,Unavailable
29498146,7900 Keswick Dr, Austin,TX,78745,3,2,1685,278070
2101272719,Hyde Plan, Saratoga Hills Dripping Springs,TX,78737,4,3.5,3599,606204
63838846,1507 Strickland Dr, Austin,TX,78748,4,3,1992,233506
80096300,703 Marc Taylor Dr, Austin,TX,78745,4,3,2875,331282
29495551,7904 Turquoise Trl, Austin,TX,78749,3,2,1441,255750
70348400,5617 Steven Creek Way, Austin,TX,78721,3,2,1436,264957
29444615,3809 Northfield Rd, Austin,TX,78727,3,2,1610,278907
55091641,8230 Spicewood Springs Rd APT 11, Austin,TX,78759,4,3,2472,451050
80096228,5604 Kleberg Trl, Austin,TX,78747,3,2,1493,195300
29403304,4307 Avenue C, Austin,TX,78751,3,2,1096,475050
29346361,4724 Palisade Dr, Austin,TX,78731,3,2,2370,636613
29385242,2002 E 9th St, Austin,TX,78702,3,1,1384,353400
2111424401,Holden Plan, Preston Village Austin,TX,78728,3,2.5,1785,264826
2097571537,1700 Perez St # A, Austin,TX,78721,3,3,1330,Unavailable
2101762883,3502 Red River St, Austin,TX,78705,4,3,3168,696570
80094016,1149 Nickols Ave, Austin,TX,78721,3,2,1372,312387
29322142,1904 Goodrich Ave APT 17, Austin,TX,78704,3,3,1304,293717
84077009,228 Limestone Trl, Austin,TX,78737,3,3,2299,297507
2097573017,11101 Cusseta Ln, Austin,TX,78739,5,4,4237,Unavailable
2097573142,1306 West Ave # 3B, Austin,TX,78701,2,2,1129,Unavailable
2097573141,1306 West Ave # 3D, Austin,TX,78701,2,2,1129,Unavailable
2097573143,1306 West Ave # 1A, Austin,TX,78701,1,1,756,Unavailable
